DispImage,a,b,c,d,e,f,direction,number
Images/Fractal_Curves_A0.png,2.454904,1.438282,1.267164,0.80669,0.521043,0.762746,1,1
Images/Fractal_Curves_A1.png,3.190945,1.716639,1.375216,1.167124,0.697391,0.886066,1,2
Images/Fractal_Curves_A2.png,3.629646,2.978908,0.894631,1.111255,0.71745,0.82765,1,3
Images/Fractal_Curves_A3.png,5.245218,2.41113,1.242687,0.444578,0.727161,0.878045,1,4
Images/Fractal_Curves_A4.png,6.949836,2.615672,1.333723,0.411573,0.728781,0.981551,1,5
Images/Fractal_Curves_A5.png,4.029552,3.278293,0.876901,0.377299,1.029682,1.077159,1,6
Images/Fractal_Curves_A5.png,4.561626,2.094822,0.800728,0.311728,1.048117,1.226681,0,7
Images/Fractal_Curves_A4.png,5.496962,1.679667,0.744853,0.42822,0.8498,0.912606,0,8
Images/Fractal_Curves_A3.png,2.328522,3.845276,0.658701,0.261344,0.661873,0.911743,0,9
Images/Fractal_Curves_A2.png,1.343931,1.628096,0.715115,0.478199,0.677595,0.879879,0,10
Images/Fractal_Curves_A1.png,1.095245,1.178608,0.62761,0.277168,0.747681,1.028445,0,11
Images/Fractal_Curves_A0.png,2.177585,1.394762,0.726938,0.348489,0.763026,0.976864,0,12
Images/Fractal_Curves_B0.png,1.562052,1.445549,0.861719,0.32759,0.799241,1.048038,1,13
Images/Fractal_Curves_B1.png,4.079791,3.396211,0.811822,0.344413,0.761108,1.15956,1,14
Images/Fractal_Curves_B2.png,5.944925,2.444972,0.72574,0.327921,0.943407,0.930017,1,15
Images/Fractal_Curves_B3.png,7.851937,2.812753,0.781464,0.325989,0.946923,0.832272,1,16
Images/Fractal_Curves_B4.png,7.645757,3.577303,0.610736,0.332483,0.910816,0.966276,1,17
Images/Fractal_Curves_B5.png,3.147151,1.931917,0.978686,0.710885,0.911119,1.194683,1,18
Images/Fractal_Curves_B5.png,2.972074,2.060229,1.180514,0.512429,0.946991,1.261842,0,19
Images/Fractal_Curves_B4.png,3.20523,1.370937,0.615701,0.461736,0.942769,0.810598,0,20
Images/Fractal_Curves_B3.png,1.644079,1.523633,0.660103,0.360124,1.064198,0.715376,0,21
Images/Fractal_Curves_B2.png,1.261227,2.378282,0.77869,0.345657,0.760159,0.896864,0,22
Images/Fractal_Curves_B1.png,1.094369,1.610343,0.594316,0.427061,1.093616,0.82931,0,23
Images/Fractal_Curves_B0.png,0.728358,1.247569,0.577985,0.39647,0.682197,0.793483,0,24
Images/Fractal_Curves_C0.png,2.261629,1.380249,0.94245,0.458874,0.679592,0.794984,1,25
Images/Fractal_Curves_C1.png,3.963825,1.247447,0.548733,0.280504,0.842926,0.859734,1,26
Images/Fractal_Curves_C2.png,5.812362,1.564399,0.543244,0.363102,0.847183,1.299237,1,27
Images/Fractal_Curves_C3.png,5.846944,1.59597,0.563997,0.331887,0.829043,1.04603,1,28
Images/Fractal_Curves_C4.png,5.1962,1.815205,0.676447,0.326959,0.842779,1.044425,1,29
Images/Fractal_Curves_C5.png,6.462436,4.095302,0.547987,0.394244,0.675396,0.694648,1,30
Images/Fractal_Curves_C5.png,3.245734,1.39491,0.727935,0.395684,0.766568,0.843743,0,31
Images/Fractal_Curves_C4.png,3.215487,1.578613,0.544172,0.426396,0.611606,0.795767,0,32
Images/Fractal_Curves_C3.png,3.795086,1.111753,0.712055,0.228605,0.760451,0.645071,0,33
Images/Fractal_Curves_C2.png,2.394961,1.346587,0.593764,0.279515,0.898881,0.746892,0,34
Images/Fractal_Curves_C1.png,1.244745,1.044809,0.560863,0.306589,0.677435,0.713447,0,35
Images/Fractal_Curves_C0.png,0.711707,1.295381,0.581017,0.327559,0.745648,0.743063,0,36
Images/Fractal_Curves_D0.png,0.560348,0.828419,0.59353,0.362245,0.643806,0.731615,1,37
Images/Fractal_Curves_D1.png,2.145745,1.260411,0.559898,0.362161,0.812177,0.84439,1,38
Images/Fractal_Curves_D2.png,3.576412,0.962294,0.197819,0.277498,0.814003,0.913496,1,39
Images/Fractal_Curves_D3.png,4.163899,0.81001,0.777665,0.278393,0.779021,0.698433,1,40
Images/Fractal_Curves_D4.png,4.081281,0.859448,0.611372,0.278664,0.809025,0.845111,1,41
Images/Fractal_Curves_D5.png,3.866222,1.514234,0.744445,0.310311,0.716604,0.66481,1,42
Images/Fractal_Curves_D5.png,3.045182,1.111295,0.578147,0.29548,0.945266,0.763057,0,43
Images/Fractal_Curves_D4.png,2.461357,1.429272,0.644369,0.278698,0.728728,0.711621,0,44
Images/Fractal_Curves_D3.png,1.112042,0.926335,0.714571,0.827997,0.710169,0.726407,0,45
Images/Fractal_Curves_D2.png,1.078836,0.77831,0.910524,0.561958,0.681953,0.681683,0,46
Images/Fractal_Curves_D1.png,0.844645,0.82875,0.679471,0.675952,0.663359,0.677288,0,47
Images/Fractal_Curves_D0.png,0.67629,1.060953,0.743114,0.664987,0.658449,0.644831,0,48
Images/Fractal_Curves_E0.png,1.662772,0.862811,0.569682,0.494383,0.681467,0.829369,1,49
Images/Fractal_Curves_E1.png,2.795182,1.010917,0.57668,0.330076,0.741923,0.777801,1,50
Images/Fractal_Curves_E2.png,4.64701,1.044513,0.758274,0.376275,0.765568,0.612835,1,51
Images/Fractal_Curves_E3.png,8.446136,1.496072,0.878383,0.392652,0.726836,0.894623,1,52
Images/Fractal_Curves_E4.png,4.11377,0.761972,0.7255,0.314057,0.880582,0.678994,1,53
Images/Fractal_Curves_E5.png,2.010699,0.694339,0.499025,0.294603,0.775818,0.628259,1,54
Images/Fractal_Curves_E5.png,1.928733,0.844412,0.523697,0.643651,0.849629,0.929673,0,55
Images/Fractal_Curves_E4.png,2.045224,0.828225,0.612438,0.344432,0.777257,0.71077,0,56
