DispImage,g,h,i,j,k,l,m,n,o,p,direction,number
Images/Tree_A0.png,0.83918,0.646236,1.821526,1.432611,1.435371,1.195243,1.141839,0.553262,0.908256,0.709433,1,1
Images/Tree_A1.png,0.612614,0.432701,1.974875,1.178894,1.014091,0.828673,1.375026,0.808908,0.575075,0.514162,1,2
Images/Tree_A2.png,0.696743,0.550048,1.675956,1.214713,0.928129,0.979678,1.543919,0.41169,0.558351,1.187895,1,3
Images/Tree_A3.png,0.86595,0.592531,1.647954,1.177959,0.912008,0.497098,1.294886,0.477605,0.562915,0.88036,1,4
Images/Tree_A4.png,0.696262,0.563728,1.993778,1.12755,0.828928,0.62995,1.277608,0.462214,0.51227,0.464533,1,5
Images/Tree_A5.png,0.744813,0.509787,1.682371,1.378054,0.843225,0.980173,1.043832,0.794262,0.527848,0.669472,1,6
Images/Tree_A6.png,0.763767,0.551481,1.710664,1.144915,0.9472,1.014342,1.532764,0.777686,0.545687,0.89377,1,7
Images/Tree_A7.png,0.764249,0.56259,1.896495,1.294204,0.879508,1.014386,0.827402,0.414012,0.46027,1.061212,1,8
Images/Tree_A7.png,0.749703,0.57515,2.125821,1.361944,0.895664,0.581848,1.977243,0.927358,0.827746,0.478319,0,9
Images/Tree_A6.png,0.80925,0.531699,2.732323,1.145273,0.893713,0.658583,0.948518,0.395739,0.511922,0.712476,0,10
Images/Tree_A5.png,0.731413,0.380318,2.860155,1.111256,0.698312,0.430108,1.128213,0.39401,0.444638,1.395106,0,11
Images/Tree_A4.png,0.679442,0.481135,1.566983,1.229314,0.894623,0.845541,0.645568,0.444432,0.510577,0.794761,0,12
Images/Tree_A3.png,0.67889,0.44809,2.21147,1.027964,0.860698,0.347914,0.879068,0.428897,0.495438,0.429057,0,13
Images/Tree_A2.png,0.692993,0.565591,1.696669,1.093289,0.893895,0.429557,0.659149,0.42573,0.444006,0.426395,0,14
Images/Tree_A1.png,0.730845,0.644935,1.609965,1.179483,0.864743,0.58095,0.845387,0.548983,0.411333,0.89367,0,15
Images/Tree_A0.png,0.597383,0.395992,1.730437,1.378465,0.995751,0.463098,1.161372,0.443644,0.460216,1.111078,0,16
Images/Sierpinski_B0.png,0.649043,0.494235,1.580399,1.22797,1.059665,0.912834,1.229029,0.844819,0.513012,0.411508,1,17
Images/Sierpinski_B1.png,0.579082,0.577482,1.415054,1.098626,0.879344,0.679477,1.127687,0.778633,0.461515,0.447697,1,18
Images/Sierpinski_B2.png,0.67907,0.513731,1.313455,1.06065,0.877425,0.697224,1.261949,0.377057,0.410525,0.9105,1,19
Images/Sierpinski_B3.png,0.578648,0.811429,1.527178,0.863212,1.032093,0.862908,0.893243,0.378772,0.428009,1.098122,1,20
Images/Sierpinski_B4.png,0.578149,0.610834,1.378304,0.912055,0.894834,0.762942,0.87804,0.559631,0.394828,0.52765,1,21
Images/Sierpinski_B5.png,0.632694,0.713203,1.511615,0.828613,0.960653,0.496549,0.809903,0.627475,0.42799,0.428004,1,22
Images/Sierpinski_B5.png,0.662727,0.494773,1.51227,0.793167,1.078904,0.680169,0.982477,0.780954,0.543325,0.992931,0,23
Images/Sierpinski_B4.png,0.625902,0.678052,1.626032,0.897906,0.892905,0.429727,0.861803,0.426379,0.48113,0.979951,0,24
Images/Sierpinski_B3.png,0.615216,0.493254,1.298975,0.74477,0.811859,0.413519,1.194347,0.514908,0.411968,0.380614,0,25
Images/Sierpinski_B2.png,0.526751,0.497318,1.261385,0.745976,0.878221,0.546167,0.94365,0.394626,0.444607,0.411707,0,26
Images/Sierpinski_B1.png,0.629142,0.397923,1.111168,0.880951,0.978713,0.647704,0.678988,0.644422,0.459469,1.564929,0,27
Images/Sierpinski_B0.png,0.680663,0.497804,1.245478,0.851618,0.861004,0.680102,0.394819,0.426663,0.527287,0.894081,0,28
Images/Sierpinski_A0.png,0.597474,0.565658,1.212496,0.875898,1.152671,1.029073,1.061357,0.896653,0.499113,0.52834,1,29
Images/Sierpinski_A1.png,0.611949,0.582638,1.27828,0.611428,0.710095,0.546498,0.927169,0.476519,0.460558,0.394292,1,30
Images/Sierpinski_A2.png,0.614318,0.527103,1.295966,0.894508,1.027086,0.780078,1.030683,0.443646,0.475474,1.210216,1,31
Images/Sierpinski_A3.png,0.594296,0.496991,1.259908,0.794801,1.010613,0.481722,0.527527,0.460197,0.477546,1.06641,1,32
Images/Sierpinski_A4.png,0.681926,0.613504,1.31512,0.795323,1.011555,0.530806,1.244469,0.514296,0.479586,0.46153,1,33
Images/Sierpinski_A4.png,0.595082,0.633541,1.711608,0.861669,1.083558,0.862518,0.895324,0.729118,0.51124,0.430191,0,34
Images/Sierpinski_A3.png,0.530441,0.325473,1.394554,0.745096,1.007827,0.713789,1.028323,0.395099,0.443885,0.710845,0,35
Images/Sierpinski_A2.png,0.56485,0.333313,1.29533,0.778023,0.980265,0.480105,0.560745,0.527262,0.444796,1.113742,0,36
Images/Sierpinski_A1.png,0.580379,0.328282,1.362238,0.778013,1.02905,0.647153,0.911439,0.461663,0.428446,0.811854,0,37
Images/Sierpinski_A0.png,0.645023,0.443917,1.12784,0.781488,0.911124,0.54658,1.029726,0.448059,0.493813,0.628305,0,38
Images/Pythagoras_B0.png,0.533038,0.381295,1.245056,0.811044,1.262526,0.913037,0.961032,0.642683,0.444575,1.1307,1,39
Images/Pythagoras_B1.png,0.609957,0.548388,1.426904,0.77883,0.927813,0.647763,0.99472,0.748114,0.460225,0.792891,1,40
Images/Pythagoras_B2.png,0.565992,0.678588,1.627952,0.810594,1.011886,0.916272,1.045272,0.459696,0.429335,0.56098,1,41
Images/Pythagoras_B3.png,0.593022,0.844543,1.664035,1.044261,0.977519,1.510825,1.127431,0.697976,0.42809,0.694328,1,42
Images/Pythagoras_B3.png,0.613721,0.760361,2.130025,1.080427,0.978379,1.19556,0.778013,0.51036,0.443621,1.045399,0,43
Images/Pythagoras_B2.png,0.580517,0.463899,1.563541,0.898583,0.831046,0.460339,0.731601,0.449704,0.395586,1.011512,0,44
Images/Pythagoras_B1.png,0.65896,0.49489,1.248606,0.778627,0.845417,0.611819,0.593156,0.446029,0.476888,0.516714,0,45
Images/Pythagoras_B0.png,0.698452,0.64441,1.594323,0.795196,1.161226,0.609656,0.50404,0.494132,0.412734,0.743487,0,46
