DispImage,direction,bc.WRA.0225,cc.WRA.0225,es.WRA.0224,sw.WRA.0221,sw.WRA.0308,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316
Images/Fern_A0.png,2,1.243279,0.594972,0.610278,0.77671,0.659098,0.42784,1.278048,1.378201,0.445675,0.410028,0.678782,0.545275
Images/Fern_A0.png,2,0.893457,0.725191,0.559706,0.859244,0.733477,0.399219,1.226496,1.328601,0.326172,0.427686,0.645268,0.661343
Images/Fern_A100.png,2,0.531614,0.756308,0.543645,0.880398,0.746725,0.378636,1.295035,1.761363,0.726462,0.645229,0.628756,0.460821
Images/Fern_A100.png,2,1.227791,0.628032,0.409348,0.744154,0.593964,0.446097,1.377685,0.681414,0.829376,0.577397,0.611688,0.531982
Images/Fern_A12800.png,2,3.47839,0.811742,0.478424,0.860795,0.945059,0.415447,1.46199,1.344416,0.694906,0.84916,0.540897,0.592484
Images/Fern_A12800.png,2,6.513505,0.731073,0.728171,0.694422,0.825316,0.394326,1.139195,1.11371,0.510277,0.39513,0.666398,0.475282
Images/Fern_A1600.png,2,0.489779,0.86402,0.378464,0.827306,0.710931,0.377677,1.337723,0.826389,0.711474,0.81136,0.809669,0.483189
Images/Fern_A1600.png,2,2.647314,0.677293,0.426273,0.908547,0.776732,0.443551,1.078716,1.128918,0.509651,0.761048,0.510763,0.481626
Images/Fern_A200.png,2,0.861791,0.592676,0.428171,0.778629,0.676918,0.393771,0.778415,1.312829,0.744438,0.779457,0.594278,0.580114
Images/Fern_A200.png,2,0.798069,0.761223,0.67767,0.733863,0.779437,0.39619,0.999496,0.909851,0.577946,0.643266,0.561684,0.727509
Images/Fern_A3200.png,2,4.418558,0.727938,0.762097,0.911633,0.699109,0.377133,1.027104,2.046091,0.626491,0.845564,0.661443,0.679188
Images/Fern_A3200.png,2,1.245016,0.628652,0.377815,0.799358,0.699132,0.411243,1.09468,0.894303,0.649556,0.427367,0.646006,0.45889
Images/Fern_A400.png,2,1.928901,0.728123,0.3785,0.815493,0.899873,0.392207,1.011368,1.528913,0.411299,0.49419,0.533947,0.632493
Images/Fern_A400.png,2,0.561349,0.561569,0.512239,0.843289,0.782207,0.395368,1.310634,0.728505,0.731998,0.461693,0.644148,0.492927
Images/Fern_A6400.png,2,3.295976,0.627109,0.578275,0.932569,0.730505,0.410067,0.480262,2.191996,1.345696,0.61158,0.544678,0.576594
Images/Fern_A6400.png,2,5.31301,0.698193,0.495607,0.895504,0.946432,0.395223,1.125777,0.844529,0.711887,0.476749,0.627834,0.442371
Images/Fern_A800.png,2,1.028383,0.545204,0.26177,0.861144,0.843082,0.39412,0.878888,1.195241,0.431892,0.443277,0.543428,0.496245
Images/Fern_A800.png,2,3.145721,0.578745,0.465732,0.875773,0.745467,0.394234,1.499694,0.711211,0.478262,0.395644,0.52856,0.53374
